2 3 4 5:0:0.2 T_1|student video:1 audio:0 reading:1 kinesthetic:0 |content C_1_1 C_1_2 C_1_3 C_1_4 
18 19 20:0:0.28 21 T_7|student video:1 audio:0 reading:1 kinesthetic:0 |content C_7_1 C_7_2 C_7_3 C_7_4 
25:0:0.21 26 27 28 T_9|student video:1 audio:0 reading:1 kinesthetic:0 |content C_9_1 C_9_2 C_9_3 C_9_4 
17:0:1.0 T_6|student video:1 audio:0 reading:1 kinesthetic:0 |content C_6_1 
29 1:1:0.01 T_10|student video:1 audio:0 reading:1 kinesthetic:0 |content C_10_1 C_10_2 
29:0:0.99 T_10|student video:1 audio:0 reading:1 kinesthetic:0 |content C_10_1 
11 12:1:0.97 T_4|student video:1 audio:0 reading:1 kinesthetic:0 |content C_4_1 C_4_2 
11:1:0.03 T_4|student video:1 audio:0 reading:1 kinesthetic:0 |content C_4_1 
7 8 9:0:0.29 10 T_3|student video:1 audio:0 reading:1 kinesthetic:0 |content C_3_1 C_3_2 C_3_3 C_3_4 
13 14 15 16:0:0.3 T_5|student video:1 audio:0 reading:1 kinesthetic:0 |content C_5_1 C_5_2 C_5_3 C_5_4 
6:0:1.0 T_2|student video:1 audio:0 reading:1 kinesthetic:0 |content C_2_1 
22:1:0.06 23 24 T_8|student video:1 audio:0 reading:1 kinesthetic:0 |content C_8_1 C_8_2 C_8_3 
23 24:0:0.54 T_8|student video:1 audio:0 reading:1 kinesthetic:0 |content C_8_2 C_8_3 
2:0:0.11 3 4 5 T_1|student video:1 audio:1 reading:1 kinesthetic:1 |content C_1_1 C_1_2 C_1_3 C_1_4 
18 19 20:0:0.28 21 T_7|student video:1 audio:1 reading:1 kinesthetic:1 |content C_7_1 C_7_2 C_7_3 C_7_4 
25 26 27:0:0.4 28 T_9|student video:1 audio:1 reading:1 kinesthetic:1 |content C_9_1 C_9_2 C_9_3 C_9_4 
17:1:1.0 T_6|student video:1 audio:1 reading:1 kinesthetic:1 |content C_6_1 
29:1:0.99 1 T_10|student video:1 audio:1 reading:1 kinesthetic:1 |content C_10_1 C_10_2 
1:1:0.01 T_10|student video:1 audio:1 reading:1 kinesthetic:1 |content C_10_2 
11:1:0.03 12 T_4|student video:1 audio:1 reading:1 kinesthetic:1 |content C_4_1 C_4_2 
12:1:0.97 T_4|student video:1 audio:1 reading:1 kinesthetic:1 |content C_4_2 
7 8 9:1:0.29 10 T_3|student video:1 audio:1 reading:1 kinesthetic:1 |content C_3_1 C_3_2 C_3_3 C_3_4 
7 8 10:1:0.36 T_3|student video:1 audio:1 reading:1 kinesthetic:1 |content C_3_1 C_3_2 C_3_4 
7 8:1:0.32 T_3|student video:1 audio:1 reading:1 kinesthetic:1 |content C_3_1 C_3_2 
7:1:0.04 T_3|student video:1 audio:1 reading:1 kinesthetic:1 |content C_3_1 
13:1:0.36 14 15 16 T_5|student video:1 audio:1 reading:1 kinesthetic:1 |content C_5_1 C_5_2 C_5_3 C_5_4 
14 15:1:0.04 16 T_5|student video:1 audio:1 reading:1 kinesthetic:1 |content C_5_2 C_5_3 C_5_4 
14:0:0.29 16 T_5|student video:1 audio:1 reading:1 kinesthetic:1 |content C_5_2 C_5_4 
6:0:1.0 T_2|student video:1 audio:1 reading:1 kinesthetic:1 |content C_2_1 
22:1:0.06 23 24 T_8|student video:1 audio:1 reading:1 kinesthetic:1 |content C_8_1 C_8_2 C_8_3 
23 24:0:0.54 T_8|student video:1 audio:1 reading:1 kinesthetic:1 |content C_8_2 C_8_3 
